Title,Description,Date,Source,Source_Link
"EESL Inks Initial Pacts Worth Rs 500 Crore With State Bodies, Industry Partners","Ladakh Autonomous Hill Development Council, Leh (LAHDC), and Vidhya Pratishthan have partnered with EESL, the company said in a statement on Friday.","05:12 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=EESL+Inks+Initial+Pacts+Worth+Rs+500+Crore+With+State+Bodies%2C+Industry+Partners&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fbusiness%2Feesl-inks-initial-pacts-worth-rs-500-crore-with-state-bodies-industry-partners
"Centre Released Rs 15,948 Crore To Sugar Mills In Last 5 Years","She said that the export of sugar (raw, refined and white sugar) has been placed under a restricted category.","05:12 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Centre+Released+Rs+15%2C948+Crore+To+Sugar+Mills+In+Last+5+Years&url=https%3A%2F%2Fwww.ndtvprofit.com%2Fnation%2Fcentre-released-rs-15948-crore-to-sugar-mills-in-last-5-years
Sensex  rises! But these  stocks fell 5% or more in Friday's session,"In the Nifty pack, 27 stocks closed in the green, while 23 stocks ended in the red.","05:11 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Sensex++rises%21+But+these++stocks+fell+5%25+or+more+in+Friday%27s+session+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fstock-watch%2Fsensex-rises-but-these-stocks-fell-5-or-more-in-fridays-session%2Farticleshow%2F107558017.cms
Bharat Ratna: Honour for champions of economic reforms and farmers but Modi's political message is clear,"Bharat Ratna to PV Narasimha Rao, Chaudhary Charan Singh and MS Swaminathan connects with Indians at multiple levels. Rao is a darling of the middle classes, is adored in Telangana and Andhra Pradesh, and was out of sync with a Sonia Gandhi-obsessed Congress. Charan Singh was among the first farmer leaders and struck crucial blows to the Congress edifice. Without Swaminathan, India’s achievements in agricultural self-sufficiency are unimaginable","05:10 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Bharat+Ratna%3A+Honour+for+champions+of+economic+reforms+and+farmers+but+Modi%27s+political+message+is+clear&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fopinion%2Fbharat-ratna-pv-narasimha-rao-and-chaudhary-charan-singh-economic-reforms-farmers-narendra-modi-political-message-12233721.html
SJVN net profit falls 51% to Rs 139 crore in December quarter,"The board of directors, in its meeting on Friday, has approved an interim dividend of Rs 1.15 per equity share for the financial year 2023-24.","05:09 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=SJVN+net+profit+falls+51%25+to+Rs+139+crore+in+December+quarter&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fearnings%2Fsjvn-net-profit-falls-51-to-rs-139-crore-in-december-quarter-12235081.html
Supreme Court Denies Recall Of Ruling That Held Telecom Licence Fee As Capex,"However, the top court has decided to consider whether to waive the interest on dues payable and whether to give the judgment a prospective effect.","05:07 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Supreme+Court+Denies+Recall+Of+Ruling+That+Held+Telecom+Licence+Fee+As+Capex&url=https%3A%2F%2Fwww.ndtvprofit.com%2Flaw-and-policy%2Fsupreme-court-denies-recall-of-ruling-that-held-telecom-licence-fee-as-capex
"Technical View | Nifty has to hold 21,550 to move higher, say experts","The options data indicates the Nifty may face strong resistance at 22,000 in the coming days, with support at 21,700 and then 21,500","05:06 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Technical+View+%7C+Nifty+has+to+hold+21%2C550+to+move+higher%2C+say+experts&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fmarkets%2Ftechnical-view-nifty-has-to-hold-21550-to-move-higher-say-experts-12234991.html
Going through the roof: What’s causing the unprecedented hike in Bengaluru's 1BHK rentals,Experts maintain that it will take some years until new supply comes in to bring stability to 1BHK rentals in the city.,"05:05 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Going+through+the+roof%3A+What%E2%80%99s+causing+the+unprecedented+hike+in+Bengaluru%27s+1BHK+rentals&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Freal-estate%2Fgoing-through-the-roof-whats-causing-the-unprecedented-hike-in-bengalurus-1bhk-rentals-12235061.html
Rupee falls seven paise to close at 83.03 against U.S. dollar,"At the interbank foreign exchange market, the local unit opened at 82.96 and finally settled at 83.03 against the dollar, down by seven paise from its previous close.","04:59 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Rupee+falls+seven+paise+to+close+at+83.03+against+U.S.+dollar&url=https%3A%2F%2Fwww.thehindu.com%2Fbusiness%2Fmarkets%2Frupee-falls-seven-paise-to-close-at-8303-against-us-dollar%2Farticle67828811.ece
Premalu review: Naslen and Mamitha are charming in a harmless romcom,"Premalu - directed by Girish AD and produced by Fahadh Faasil, Dileesh Pothan and Syam Pushkaran - is a light-hearted film on life and love that doesn’t take itself too seriously.","04:56 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Premalu+review%3A+Naslen+and+Mamitha+are+charming+in+a+harmless+romcom&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Ftrends%2Fentertainment%2Fpremalu-malayalam-film-review-12235021.html
