Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage,52 Week High,52 Week Low
BAJAJHLDNG.NS,8195.5498046875,8468.2759765625,8545.963600852272,7588.034184570312,8386.60952050595,7660.2476049389725,12.624210605558893%,9.482225027538968%,Negative,4.100342717699219%,-4.100342717699219%,,
BANKINDIA.NS,148.5,137.84999938964845,138.3784089521928,108.19890201568603,136.1407639637523,113.41446346294997,27.89261847789503%,20.038273608926893%,Positive,-7.3144294145656845%,7.3144294145656845%,,
BAYERCROP.NS,5423.0,5323.17,5577.7386252663355,5151.83236328125,5466.898389894982,5182.784600741316,8.26708308718768%,5.481875305275613%,Negative,2.7742179342250326%,-2.7742179342250326%,,
BDL.NS,1744.800048828125,1728.902919921875,1733.372275612571,1334.2438592529297,1705.2748297149062,1413.0577997600371,29.914202984087286%,20.679764833716842%,Positive,-0.6592797967485341%,0.6592797967485341%,,
BHARATFORG.NS,1145.6500244140625,1142.5079931640626,1158.8639470880682,1074.2063970947265,1152.9240231965543,1075.544911545804,7.880938916609001%,7.194410091117326%,Negative,1.1402479736477251%,-1.1402479736477251%,,
BPCL.NS,590.4500122070312,605.2380004882813,608.2681815407493,428.0226737976074,584.5386876907787,462.0343711509364,42.11120549851335%,26.514113275746503%,Negative,2.929327864657405%,-2.929327864657405%,,
BIKAJI.NS,539.5499877929688,508.0360009765625,522.8534088134766,503.9247482299805,520.9100439282835,497.89166875031526,3.756247465515912%,4.623169380548835%,Positive,-3.1933575832243544%,3.1933575832243544%,,
BIOCON.NS,270.95001220703125,265.3720007324219,270.81818320534444,257.4898417663574,266.4746221532586,255.573434858115,5.176259128343%,4.265383568208313%,Positive,-0.04867804669779236%,0.04867804669779236%,,
BIRLACORPN.NS,1507.6500244140625,1498.194013671875,1565.8386396928267,1343.6215478515626,1509.6363065797912,1355.2488790494365,16.53866687361386%,11.391813704257855%,Negative,3.7161310114418438%,-3.7161310114418438%,,
BSOFT.NS,749.1500244140625,755.9400048828124,786.2022788307884,595.6681594848633,763.8506387174125,622.3498041728317,31.9866214623088%,22.736543595872146%,Negative,4.712814426311336%,-4.712814426311336%,,
BBTC.NS,1623.75,1631.0880078125,1674.4886363636363,1356.4869702148437,1628.469194778552,1400.9562246740413,23.443031384107336%,16.239834342964272%,Negative,3.030097383868882%,-3.030097383868882%,,
BORORENEW.NS,540.0499877929688,524.3540002441406,542.8954530195756,478.45599884033203,526.9115610050724,489.0503760487222,13.468209059021117%,7.741776064512868%,Negative,0.5241276586091147%,-0.5241276586091147%,,
BRIGADE.NS,964.7000122070312,930.1319995117187,963.5352283824574,747.2340139770508,936.5443242512224,787.7883017509001,28.946917613422457%,18.88274072738886%,Positive,-0.12088648035518787%,0.12088648035518787%,,
